v1,v2,v3
268,282,283
267,269,257
284,268,283
284,271,268
285,286,260
285,260,271
260,286,272
259,273,270
272,287,247
271,284,288
288,285,271
287,289,247
289,274,247
290,273,261
261,274,290
275,251,263
263,291,275
275,291,264
265,264,291
278,277,255
256,232,243
281,280,211
266,292,212
292,258,212
258,293,267
282,268,269
267,293,269
294,284,283
270,273,295
294,296,284
297,273,290
298,263,276
263,298,291
277,298,276
291,256,265
256,291,299
300,278,279
299,266,256
280,300,279
280,281,301
266,302,292
292,293,258
293,303,269
304,281,270
305,283,282
269,303,306
303,293,286
306,303,307
285,303,286
293,308,286
308,272,286
307,303,285
288,307,285
272,308,309
296,288,284
309,287,272
273,297,295
289,287,310
289,311,274
311,290,274
298,312,291
277,312,298
312,313,291
313,299,291
312,277,278
312,278,314
266,299,302
280,315,300
306,305,282
306,282,269
308,293,292
305,294,283
307,316,306
270,295,317
316,307,309
307,288,309
318,296,294
309,288,287
296,310,288
310,287,288
319,289,310
311,320,290
311,289,319
321,313,312
312,314,321
313,321,322
300,314,278
322,299,313
315,280,301
301,281,304
323,309,308
323,308,292
323,292,324
324,292,302
317,304,270
318,294,305
325,316,309
317,295,326
297,326,295
296,318,310
327,297,290
320,327,290
311,319,328
321,314,322
329,302,299
329,299,322
300,330,314
300,315,330
304,331,301
304,317,331
306,332,305
316,333,306
332,306,333
334,333,316
325,334,316
309,323,325
334,325,335
328,334,335
325,336,335
325,323,336
323,324,336
318,319,310
337,328,335
337,335,336
311,328,337
338,320,311
314,330,322
322,330,339
339,329,322
340,315,301
329,324,302
317,326,341
342,318,305
297,343,326
318,344,319
342,344,318
345,336,324
346,343,297
346,297,327
344,328,319
347,336,345
337,347,311
337,336,347
340,301,331
330,348,339
315,348,330
339,348,329
342,305,332
343,341,326
344,333,334
334,328,344
349,347,345
340,350,315
317,341,331
331,341,340
315,350,348
348,324,329
345,324,348
332,333,342
344,342,333
351,346,327
311,352,338
352,311,347
320,351,327
320,338,353
351,354,355
356,351,320
356,320,353
354,351,356
354,356,353
357,348,350
343,346,355
351,355,346
347,349,358
358,352,347
359,343,355
354,359,355
354,353,360
340,341,361
357,345,348
362,345,357
349,345,362
343,361,341
363,349,362
358,349,363
364,338,352
365,359,354
353,338,364
360,365,354
350,340,366
340,361,367
343,359,361
361,359,367
359,368,367
364,352,358
359,365,368
360,353,364
365,360,368
366,340,367
350,369,357
350,366,369
357,369,370
357,370,362
371,367,368
358,363,370
368,360,371
371,360,364
370,363,362
371,366,367
369,366,372
364,358,372
370,372,358
364,372,366
366,371,364
370,369,372
