,x,y
MEG 0113,-0.1601120122968089,0.06054452448771859
MEG 0112,-0.1601120122968089,0.06054452448771859
MEG 0122,-0.11968084449526416,0.07083578179644262
MEG 0123,-0.11968084449526416,0.07083578179644262
MEG 0132,-0.12861838275962995,0.032461404305529885
MEG 0133,-0.12861838275962995,0.032461404305529885
MEG 0143,-0.1679931937892397,0.01062578120569097
MEG 0142,-0.1679931937892397,0.01062578120569097
MEG 0213,-0.10263875189003109,0.03224129453405139
MEG 0212,-0.10263875189003109,0.03224129453405139
MEG 0222,-0.08039929588204783,0.036159256265867926
MEG 0223,-0.08039929588204783,0.036159256265867926
MEG 0232,-0.08242138650937882,0.006848570280584661
MEG 0233,-0.08242138650937882,0.006848570280584661
MEG 0243,-0.1040656592977703,-0.0003691239646624843
MEG 0242,-0.1040656592977703,-0.0003691239646624843
MEG 0313,-0.08213852502220136,0.09513644273712302
MEG 0312,-0.08213852502220136,0.09513644273712302
MEG 0322,-0.07256129655582749,0.06534123529318211
MEG 0323,-0.07256129655582749,0.06534123529318211
MEG 0333,-0.051235875421074314,0.06045797567991038
MEG 0332,-0.051235875421074314,0.06045797567991038
MEG 0343,-0.09589663173332336,0.06382004767276192
MEG 0342,-0.09589663173332336,0.06382004767276192
MEG 0413,-0.058172327316354966,0.03484583762043156
MEG 0412,-0.058172327316354966,0.03484583762043156
MEG 0422,-0.03477421912275033,0.033093180909290344
MEG 0423,-0.03477421912275033,0.033093180909290344
MEG 0432,-0.03534363468811874,0.009875486748944657
MEG 0433,-0.03534363468811874,0.009875486748944657
MEG 0443,-0.05955221078996667,0.009422823371670866
MEG 0442,-0.05955221078996667,0.009422823371670866
MEG 0513,-0.059586008266183474,0.11860719207278086
MEG 0512,-0.059586008266183474,0.11860719207278086
MEG 0523,-0.03048682809765713,0.13015583278738307
MEG 0522,-0.03048682809765713,0.13015583278738307
MEG 0532,-0.027009296815041876,0.10654074289703253
MEG 0533,-0.027009296815041876,0.10654074289703253
MEG 0542,-0.054826703921238354,0.09248586429154082
MEG 0543,-0.054826703921238354,0.09248586429154082
MEG 0613,-0.025802345069647757,0.08145556481066105
MEG 0612,-0.025802345069647757,0.08145556481066105
MEG 0622,0.0005422665434668413,0.057827796310915856
MEG 0623,0.0005422665434668413,0.057827796310915856
MEG 0633,-0.011381009002583296,0.03474642366914253
MEG 0632,-0.011381009002583296,0.03474642366914253
MEG 0642,-0.02466377813852695,0.0570651702375557
MEG 0643,-0.02466377813852695,0.0570651702375557
MEG 0713,-0.011331689527588338,0.013139272333281417
MEG 0712,-0.011331689527588338,0.013139272333281417
MEG 0723,0.012416805755903997,0.013145729735989063
MEG 0722,0.012416805755903997,0.013145729735989063
MEG 0733,0.012659282412206744,-0.009055779591073069
MEG 0732,0.012659282412206744,-0.009055779591073069
MEG 0743,-0.011617911338784682,-0.009363048329640553
MEG 0742,-0.011617911338784682,-0.009363048329640553
MEG 0813,0.00021197113150317405,0.13392600343982466
MEG 0812,0.00021197113150317405,0.13392600343982466
MEG 0822,0.0003623881692420255,0.10934505108696771
MEG 0823,0.0003623881692420255,0.10934505108696771
MEG 0913,0.030619462757424325,0.1301521467166238
MEG 0912,0.030619462757424325,0.1301521467166238
MEG 0923,0.05984495197742247,0.11848458623447905
MEG 0922,0.05984495197742247,0.11848458623447905
MEG 0932,0.05511355845937242,0.09219503219055514
MEG 0933,0.05511355845937242,0.09219503219055514
MEG 0942,0.02759835206040439,0.10632209389128247
MEG 0943,0.02759835206040439,0.10632209389128247
MEG 1013,0.0004691979237595943,0.08412431100145265
MEG 1012,0.0004691979237595943,0.08412431100145265
MEG 1023,0.026530937462172603,0.0813411272620857
MEG 1022,0.026530937462172603,0.0813411272620857
MEG 1032,0.025515388460175144,0.05689445144659943
MEG 1033,0.025515388460175144,0.05689445144659943
MEG 1043,0.01238714158958543,0.034854608760152866
MEG 1042,0.01238714158958543,0.034854608760152866
MEG 1112,0.03552244210166296,0.03303276455678491
MEG 1113,0.03552244210166296,0.03303276455678491
MEG 1123,0.058752966410553345,0.03476172459819612
MEG 1122,0.058752966410553345,0.03476172459819612
MEG 1133,0.05997175316758227,0.009394679163314892
MEG 1132,0.05997175316758227,0.009394679163314892
MEG 1142,0.036021599086260625,0.010108753313141365
MEG 1143,0.036021599086260625,0.010108753313141365
MEG 1213,0.0823385771692768,0.09492084877410745
MEG 1212,0.0823385771692768,0.09492084877410745
MEG 1223,0.09587708203647811,0.06384542637424839
MEG 1222,0.09587708203647811,0.06384542637424839
MEG 1232,0.07283252974229265,0.06517889660697063
MEG 1233,0.07283252974229265,0.06517889660697063
MEG 1243,0.051545351200448175,0.060260764587079525
MEG 1242,0.051545351200448175,0.060260764587079525
MEG 1312,0.0805976410593926,0.0361637143213341
MEG 1313,0.0805976410593926,0.0361637143213341
MEG 1323,0.10259285529677613,0.032216853065542145
MEG 1322,0.10259285529677613,0.032216853065542145
MEG 1333,0.10424421749364063,-0.00038106084964867684
MEG 1332,0.10424421749364063,-0.00038106084964867684
MEG 1342,0.08244643449044714,0.0069050380212403555
MEG 1343,0.08244643449044714,0.0069050380212403555
MEG 1412,0.11999463018126923,0.07108084866481469
MEG 1413,0.11999463018126923,0.07108084866481469
MEG 1423,0.15977982734902307,0.06163652212783751
MEG 1422,0.15977982734902307,0.06163652212783751
MEG 1433,0.1677590804668579,0.010563551097393913
MEG 1432,0.1677590804668579,0.010563551097393913
MEG 1442,0.12815400180683262,0.0323774793115583
MEG 1443,0.12815400180683262,0.0323774793115583
MEG 1512,-0.13021732408008999,-0.007287989917149355
MEG 1513,-0.13021732408008999,-0.007287989917149355
MEG 1522,-0.1206731449343783,-0.04590441436825971
MEG 1523,-0.1206731449343783,-0.04590441436825971
MEG 1533,-0.14079474598008107,-0.08564687695137715
MEG 1532,-0.14079474598008107,-0.08564687695137715
MEG 1543,-0.16089837219368155,-0.03966316510003425
MEG 1542,-0.16089837219368155,-0.03966316510003425
MEG 1613,-0.09863356346232433,-0.03236168375373535
MEG 1612,-0.09863356346232433,-0.03236168375373535
MEG 1622,-0.07863105755261247,-0.02246041223218062
MEG 1623,-0.07863105755261247,-0.02246041223218062
MEG 1632,-0.06482743966396681,-0.04934374074985443
MEG 1633,-0.06482743966396681,-0.04934374074985443
MEG 1643,-0.08412670516987393,-0.06170085884263705
MEG 1642,-0.08412670516987393,-0.06170085884263705
MEG 1713,-0.11032835646912514,-0.12330324235126022
MEG 1712,-0.11032835646912514,-0.12330324235126022
MEG 1722,-0.10151685038671442,-0.08076539936575855
MEG 1723,-0.10151685038671442,-0.08076539936575855
MEG 1732,-0.07389022192221882,-0.10841737667943838
MEG 1733,-0.07389022192221882,-0.10841737667943838
MEG 1743,-0.0706902663377942,-0.1501483937078602
MEG 1742,-0.0706902663377942,-0.1501483937078602
MEG 1813,-0.05760148068768353,-0.016489857592551817
MEG 1812,-0.05760148068768353,-0.016489857592551817
MEG 1822,-0.03494037192235151,-0.013278418030273166
MEG 1823,-0.03494037192235151,-0.013278418030273166
MEG 1832,-0.012012331293034086,-0.031756754317237956
MEG 1833,-0.012012331293034086,-0.031756754317237956
MEG 1843,-0.04064520430693028,-0.042003528732562724
MEG 1842,-0.04064520430693028,-0.042003528732562724
MEG 1912,-0.04263116060806006,-0.0690154995697603
MEG 1913,-0.04263116060806006,-0.0690154995697603
MEG 1923,-0.032447921484627454,-0.09965241234186561
MEG 1922,-0.032447921484627454,-0.09965241234186561
MEG 1932,-0.03873285677775082,-0.12514894142877678
MEG 1933,-0.03873285677775082,-0.12514894142877678
MEG 1943,-0.06168026479697358,-0.08526418667529187
MEG 1942,-0.06168026479697358,-0.08526418667529187
MEG 2013,-0.013544751631838853,-0.055394836977561555
MEG 2012,-0.013544751631838853,-0.055394836977561555
MEG 2023,0.014265729904735215,-0.05543479101192566
MEG 2022,0.014265729904735215,-0.05543479101192566
MEG 2032,0.014351531518943382,-0.07823466084974373
MEG 2033,0.014351531518943382,-0.07823466084974373
MEG 2042,-0.013968028883146999,-0.07828561048521485
MEG 2043,-0.013968028883146999,-0.07828561048521485
MEG 2113,4.8610423870358447e-05,-0.10433526813815447
MEG 2112,4.8610423870358447e-05,-0.10433526813815447
MEG 2122,-0.00023055274171191712,-0.13114698826983878
MEG 2123,-0.00023055274171191712,-0.13114698826983878
MEG 2133,0.023627158070931877,-0.16416827333119827
MEG 2132,0.023627158070931877,-0.16416827333119827
MEG 2143,-0.02498292144314767,-0.1640678733961326
MEG 2142,-0.02498292144314767,-0.1640678733961326
MEG 2212,0.03566066165947057,-0.01309784038397881
MEG 2213,0.03566066165947057,-0.01309784038397881
MEG 2223,0.058075265806467755,-0.01609930994573598
MEG 2222,0.058075265806467755,-0.01609930994573598
MEG 2233,0.041372082708795666,-0.04194590128892072
MEG 2232,0.041372082708795666,-0.04194590128892072
MEG 2242,0.012968545968257602,-0.03171120351646864
MEG 2243,0.012968545968257602,-0.03171120351646864
MEG 2312,0.043039854803741256,-0.06887982784373664
MEG 2313,0.043039854803741256,-0.06887982784373664
MEG 2323,0.061782425867608515,-0.08512774001600693
MEG 2322,0.061782425867608515,-0.08512774001600693
MEG 2332,0.038161215954348335,-0.12520630754346226
MEG 2333,0.038161215954348335,-0.12520630754346226
MEG 2343,0.03232048951285284,-0.09967236090704054
MEG 2342,0.03232048951285284,-0.09967236090704054
MEG 2412,0.07881362682546743,-0.022133699122502827
MEG 2413,0.07881362682546743,-0.022133699122502827
MEG 2423,0.09854852616554154,-0.032176712442543644
MEG 2422,0.09854852616554154,-0.032176712442543644
MEG 2433,0.08412285894933579,-0.06152224872243665
MEG 2432,0.08412285894933579,-0.06152224872243665
MEG 2442,0.06515067855674166,-0.04926091823350696
MEG 2443,0.06515067855674166,-0.04926091823350696
MEG 2512,0.07323296792475446,-0.10862641411219587
MEG 2513,0.07323296792475446,-0.10862641411219587
MEG 2522,0.10117437322144879,-0.08104676166530633
MEG 2523,0.10117437322144879,-0.08104676166530633
MEG 2533,0.10943378341581579,-0.12415619460541769
MEG 2532,0.10943378341581579,-0.12415619460541769
MEG 2543,0.06953731738253333,-0.15073760101159722
MEG 2542,0.06953731738253333,-0.15073760101159722
MEG 2612,0.12983558723346653,-0.0074660948871142045
MEG 2613,0.12983558723346653,-0.0074660948871142045
MEG 2623,0.16064349661716604,-0.040245786819833596
MEG 2622,0.16064349661716604,-0.040245786819833596
MEG 2633,0.14028364014524142,-0.0862867615983961
MEG 2632,0.14028364014524142,-0.0862867615983961
MEG 2642,0.1203811315724908,-0.046150980494707165
MEG 2643,0.1203811315724908,-0.046150980494707165
