,R,A,S
MEG 0113,-0.10597206470302906,0.08314706104100394,-0.04571891506243542
MEG 0112,-0.10597206470302906,0.08314706104100394,-0.04571891506243542
MEG 0111,-0.10597206470302906,0.08314706104100394,-0.04571891506243542
MEG 0122,-0.09994783821525982,0.07647145499301233,-0.007900465114232147
MEG 0123,-0.09994783821525982,0.07647145499301233,-0.007900465114232147
MEG 0121,-0.09994783821525982,0.07647145499301233,-0.007900465114232147
MEG 0132,-0.10689802510191598,0.050261444675048644,-0.02765876317378041
MEG 0133,-0.10689802510191598,0.050261444675048644,-0.02765876317378041
MEG 0131,-0.10689802510191598,0.050261444675048644,-0.02765876317378041
MEG 0143,-0.10977492526434071,0.05740195419833172,-0.06688014442505463
MEG 0142,-0.10977492526434071,0.05740195419833172,-0.06688014442505463
MEG 0141,-0.10977492526434071,0.05740195419833172,-0.06688014442505463
MEG 0213,-0.1045569988450932,0.032293826547004745,0.001961234980036586
MEG 0212,-0.1045569988450932,0.032293826547004745,0.001961234980036586
MEG 0211,-0.1045569988450932,0.032293826547004745,0.001961234980036586
MEG 0222,-0.09480646957216415,0.018976308264540137,0.03300106017465071
MEG 0223,-0.09480646957216415,0.018976308264540137,0.03300106017465071
MEG 0221,-0.09480646957216415,0.018976308264540137,0.03300106017465071
MEG 0232,-0.09748045796456506,-0.00991948656625119,0.011745876434929414
MEG 0233,-0.09748045796456506,-0.00991948656625119,0.011745876434929414
MEG 0231,-0.09748045796456506,-0.00991948656625119,0.011745876434929414
MEG 0243,-0.10592160023289679,0.005187785042897963,-0.018557548550811875
MEG 0242,-0.10592160023289679,0.005187785042897963,-0.018557548550811875
MEG 0241,-0.10592160023289679,0.005187785042897963,-0.018557548550811875
MEG 0313,-0.08239596783432812,0.08546096897366301,0.040427375551687184
MEG 0312,-0.08239596783432812,0.08546096897366301,0.040427375551687184
MEG 0311,-0.08239596783432812,0.08546096897366301,0.040427375551687184
MEG 0322,-0.08416531958868168,0.047895580560323614,0.05319144396872466
MEG 0323,-0.08416531958868168,0.047895580560323614,0.05319144396872466
MEG 0321,-0.08416531958868168,0.047895580560323614,0.05319144396872466
MEG 0333,-0.06464744563124403,0.030962791407277784,0.07653331097016919
MEG 0332,-0.06464744563124403,0.030962791407277784,0.07653331097016919
MEG 0331,-0.06464744563124403,0.030962791407277784,0.07653331097016919
MEG 0343,-0.09703735245957304,0.05911577143160679,0.021025807789893436
MEG 0342,-0.09703735245957304,0.05911577143160679,0.021025807789893436
MEG 0341,-0.09703735245957304,0.05911577143160679,0.021025807789893436
MEG 0413,-0.07563495484427207,0.002071075582243287,0.05785595959876444
MEG 0412,-0.07563495484427207,0.002071075582243287,0.05785595959876444
MEG 0411,-0.07563495484427207,0.002071075582243287,0.05785595959876444
MEG 0422,-0.046653814939179306,-0.01174183521742199,0.07527052368522771
MEG 0423,-0.046653814939179306,-0.01174183521742199,0.07527052368522771
MEG 0421,-0.046653814939179306,-0.01174183521742199,0.07527052368522771
MEG 0432,-0.0481364845409538,-0.040934378561526374,0.05646129171683045
MEG 0433,-0.0481364845409538,-0.040934378561526374,0.05646129171683045
MEG 0431,-0.0481364845409538,-0.040934378561526374,0.05646129171683045
MEG 0443,-0.07815344796248308,-0.026931708538177945,0.03811879593506767
MEG 0442,-0.07815344796248308,-0.026931708538177945,0.03811879593506767
MEG 0441,-0.07815344796248308,-0.026931708538177945,0.03811879593506767
MEG 0513,-0.059511523050060716,0.10461275767971925,0.05886622798845964
MEG 0512,-0.059511523050060716,0.10461275767971925,0.05886622798845964
MEG 0511,-0.059511523050060716,0.10461275767971925,0.05886622798845964
MEG 0523,-0.028717527191561065,0.1143192400502381,0.06919548586180971
MEG 0522,-0.028717527191561065,0.1143192400502381,0.06919548586180971
MEG 0521,-0.028717527191561065,0.1143192400502381,0.06919548586180971
MEG 0532,-0.028288913280415384,0.08619010362402717,0.08728742221991134
MEG 0533,-0.028288913280415384,0.08619010362402717,0.08728742221991134
MEG 0531,-0.028288913280415384,0.08619010362402717,0.08728742221991134
MEG 0542,-0.06214838336767814,0.07327476722190493,0.0742924282493504
MEG 0543,-0.06214838336767814,0.07327476722190493,0.0742924282493504
MEG 0541,-0.06214838336767814,0.07327476722190493,0.0742924282493504
MEG 0613,-0.029751126389630622,0.05235906525930807,0.09569829611357086
MEG 0612,-0.029751126389630622,0.05235906525930807,0.09569829611357086
MEG 0611,-0.029751126389630622,0.05235906525930807,0.09569829611357086
MEG 0622,0.006532958735878808,0.017887587219792098,0.09611313102678717
MEG 0623,0.006532958735878808,0.017887587219792098,0.09611313102678717
MEG 0621,0.006532958735878808,0.017887587219792098,0.09611313102678717
MEG 0633,-0.012046721896477042,-0.015109572262829322,0.08503869794374515
MEG 0632,-0.012046721896477042,-0.015109572262829322,0.08503869794374515
MEG 0631,-0.012046721896477042,-0.015109572262829322,0.08503869794374515
MEG 0642,-0.030526658340094825,0.018355393110861,0.09249845379454227
MEG 0643,-0.030526658340094825,0.018355393110861,0.09249845379454227
MEG 0641,-0.030526658340094825,0.018355393110861,0.09249845379454227
MEG 0713,-0.012458939679559453,-0.04425006014879718,0.06819197512015907
MEG 0712,-0.012458939679559453,-0.04425006014879718,0.06819197512015907
MEG 0711,-0.012458939679559453,-0.04425006014879718,0.06819197512015907
MEG 0723,0.024615444553584123,-0.043879624527495546,0.06686427653346845
MEG 0722,0.024615444553584123,-0.043879624527495546,0.06686427653346845
MEG 0721,0.024615444553584123,-0.043879624527495546,0.06686427653346845
MEG 0733,0.0240550701361123,-0.06918177132687803,0.04415706891310807
