R,A,S
-0.031106667321186568,-0.057907985265624365,0.12740440109530707
-0.012552450709882739,-0.03765199486645674,0.13797221602565643
-0.011173754160022314,-0.07818926908054391,0.12064986107075074
0.0073786291315358615,-0.058160980601215245,0.1310677826116799
0.10960577108880198,0.03878441694061799,-0.015921191045310132
-0.007097831235555947,0.10289909877919559,0.0929622176091535
0.008498125917307184,-0.09273750784351414,-0.08977128510750118
-0.10244438681236048,0.04055333160734073,-0.03591548928057928
-0.09153492489626314,-0.03877382450503488,0.08857048899428831
-0.011798049140924822,0.04638928178969267,0.13779826384423843
-0.006353426359663954,-0.1282814221935496,0.053451997625591094
0.07444572287311453,-0.0420013861688142,0.10332702756737858
-0.025942512702011266,-0.042196050061201355,0.13464460740924342
-0.025495860322040233,-0.0730590646426014,0.12144963514403884
0.0027712877332302013,-0.07325662811787828,0.12414499651709288
0.001192993203880761,-0.04239372460235966,0.13721856662638063
0.10535094828218691,0.055087860372529295,-0.006944743807160585
0.10225241241238771,0.05710649823049993,0.00452366262971525
0.09918061561375746,0.05648879669919677,0.01766917070270796
0.09422087417904348,0.055565400335694036,0.037462046720997566
0.08722726751141335,0.05691262376028581,0.05965954162136021
0.07573747892710819,0.07049201453181239,0.07434682162925972
0.06001214319631609,0.08462853495112546,0.08473388765174417
0.03938780872014667,0.09449354354841936,0.0909304097500601
0.016508548125322715,0.10043363191448045,0.09337938301547201
0.03112815607202636,-0.09035746713495359,-0.08638892638154863
0.0526132916679031,-0.08393517852324402,-0.08114812778209102
0.07197607935076233,-0.07362952684011079,-0.07423229950373987
0.08754951480631487,-0.05906033750916509,-0.06562286437122979
0.09948232789906745,-0.04182709501125694,-0.05608024815263065
0.10782634197706055,-0.022862915639290063,-0.046044987421093184
0.11186757583305156,-0.0026374524281280558,-0.0358166576273897
0.11206136535149941,0.018075057488416695,-0.025733403397121307
-0.10336248868273168,0.019874392912737557,-0.046048080614311274
-0.10163096607859487,-0.0008546530543776954,-0.05594889267677092
-0.09608894352170443,-0.021162959443400263,-0.06527492175072605
-0.08632595718922235,-0.04027676827140465,-0.07360198620251845
-0.07310524290068111,-0.05771946915295022,-0.08077242092049902
-0.05644171457326853,-0.07256006146884035,-0.08634308723252929
-0.03629916043928804,-0.08319429465406941,-0.08953305339242631
-0.0143227551148538,-0.08997242442912595,-0.09067324024111187
-0.030661766976260718,0.10078028905395188,0.08889725667736084
-0.05299234085288649,0.09509575784118346,0.08207787609078461
-0.07234129768302751,0.08532043377297002,0.07189849999403577
-0.08594159029957919,0.0712642494797222,0.05861146737792143
-0.09452594885437823,0.05810139189638187,0.041594133466078764
-0.097117493026246,0.05722942054790152,0.018069836596386266
-0.0981845153569613,0.05813833865465744,-0.0009153521550026231
-0.09868760042034282,0.05872189704273177,-0.013062868471641126
-0.09957173954821583,0.05716061408902523,-0.025737660278734063
-0.08927465275120029,-0.01708190931466246,0.09933405095667253
-0.08242742273153787,0.0043448632795750255,0.11041991506553472
-0.07190916004784276,0.02318152794184462,0.12060817162224996
-0.05552030042992345,0.037039283326772185,0.1289543127551439
-0.03445850959534739,0.04466824199511975,0.13473315569345345
-0.030558671014707862,-0.1251173189691071,0.05260890304783879
-0.05388019372290709,-0.11666901803502691,0.054420598980401524
-0.07132888908519237,-0.10156805401570124,0.06004279754511728
-0.08306655462205102,-0.08194410643612111,0.06842466081622843
-0.08957846391503406,-0.0608654758332243,0.07802740967312126
0.07369367492706719,-0.06450955206031858,0.09231514703116
0.06818251838735961,-0.08549303236642365,0.08157611133479212
0.0572524353883272,-0.10460343610011451,0.07121432594998577
0.04024695395159765,-0.11866031932303778,0.06271077035236584
0.017425126795771628,-0.12600907412825413,0.056894985449642124
0.012028477393572731,0.04407068191319606,0.13901498467830606
0.03430042969709986,0.03534318541758155,0.13696438258003482
0.0516102195607009,0.020337869973317123,0.13137500272404565
0.06300766746098294,0.000897653543905249,0.12304896216093789
0.07084435236031626,-0.019808686784854496,0.11375742686817247
-0.0332860235601782,0.08801334127263426,0.10459200404097632
-0.03477935086428569,0.06318185990436868,0.12602499106014578
0.026954979386727425,-0.05389519317813443,0.12937708632607767
0.051007629058425256,-0.04998580819023784,0.11998069487934143
-0.006738808959326088,-0.05074715712648322,0.13411804331452287
-0.011819041612493256,-0.06361658583059401,0.12840246908732714
-0.01770082295243745,-0.050674729966177334,0.13308288236341215
0.05229343911216325,0.046854428603327516,0.12420131572040446
0.07076765014307332,0.060967717213324994,0.09518830515845007
-0.08393225860783197,0.06342040625799117,0.08093256686439246
-0.0679671423718259,0.05134033289891418,0.11478075591315731
0.08506683666331138,-0.025546538531581064,0.09501939541583757
0.09717127104657028,-0.002339009845368469,0.07377392469106234
0.09907786297016853,0.017312565864158854,0.05823674904153772
0.09611422703855309,0.038494667475108324,0.0500318837611016
-0.10199838368799347,0.03964867108520813,0.024853488858496302
-0.10532894238178811,0.024632185217975958,0.03229683475984888
