ch_type
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
grad
grad
mag
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
eeg
