r,g,b,a
0.0196078431372549,0.18823529411764706,0.3803921568627451,1.0
0.028219915417147252,0.20484429065743945,0.40346020761245677,1.0
0.04113802383698578,0.22975778546712805,0.4380622837370242,1.0
0.04975009611687814,0.24636678200692044,0.4611303344867359,1.0
0.06266820453671666,0.27128027681660905,0.49573241061130335,1.0
0.071280276816609,0.2878892733564014,0.5188004613610151,1.0
0.08419838523644754,0.31280276816609,0.5534025374855825,1.0
0.0928104575163399,0.3294117647058824,0.5764705882352942,1.0
0.10572856593617842,0.35432525951557103,0.6110726643598616,1.0
0.11864667435601696,0.37923875432525955,0.6456747404844292,1.0
0.1272587466359093,0.395847750865052,0.6687427912341408,1.0
0.142483660130719,0.4173010380622838,0.6833525567089581,1.0
0.1529411764705883,0.4311418685121108,0.6904267589388697,1.0
0.16862745098039217,0.45190311418685125,0.701038062283737,1.0
0.1790849673202615,0.4657439446366783,0.7081122645136486,1.0
0.19477124183006544,0.48650519031141876,0.718723567858516,1.0
0.2052287581699347,0.5003460207612458,0.7257977700884276,1.0
0.22091503267973864,0.5211072664359861,0.7364090734332949,1.0
0.23660130718954256,0.5418685121107267,0.7470203767781622,1.0
0.24705882352941183,0.5557093425605537,0.7540945790080739,1.0
0.26274509803921586,0.5764705882352942,0.7647058823529412,1.0
0.28704344482891203,0.5918492887351019,0.7730103806228373,1.0
0.32349096501345653,0.6149173394848136,0.7854671280276817,1.0
0.3477893118031528,0.6302960399846214,0.7937716262975779,1.0
0.3842368319876971,0.653364090734333,0.8062283737024222,1.0
0.4206843521722416,0.6764321414840447,0.8186851211072664,1.0
0.4449826989619377,0.6918108419838523,0.8269896193771626,1.0
0.4814302191464823,0.7148788927335641,0.839446366782007,1.0
0.5057285659361785,0.7302575932333719,0.8477508650519032,1.0
0.5421760861207228,0.7533256439830834,0.8602076124567474,1.0
0.5664744329104192,0.7687043444828914,0.8685121107266437,1.0
0.5967704728950405,0.7848519800076894,0.8775086505190312,1.0
0.6161476355247982,0.7946943483275665,0.883044982698962,1.0
0.645213379469435,0.8094579008073819,0.8913494809688582,1.0
0.6742791234140717,0.8242214532871973,0.8996539792387543,1.0
0.6936562860438295,0.8340638216070744,0.9051903114186852,1.0
0.7227220299884662,0.8488273740868898,0.9134948096885813,1.0
0.742099192618224,0.8586697424067667,0.9190311418685122,1.0
0.7711649365628607,0.8734332948865823,0.9273356401384084,1.0
0.7905420991926184,0.8832756632064592,0.9328719723183392,1.0
0.819607843137255,0.8980392156862746,0.9411764705882353,1.0
0.8312956555171089,0.9035755478662054,0.9433294886582084,1.0
0.8488273740868898,0.9118800461361016,0.946559015763168,1.0
0.8663590926566707,0.9201845444059977,0.9497885428681276,1.0
0.8780469050365245,0.9257208765859286,0.9519415609381008,1.0
0.8955786236063054,0.9340253748558247,0.9551710880430604,1.0
0.9072664359861592,0.9395617070357555,0.9573241061130334,1.0
0.92479815455594,0.9478662053056517,0.9605536332179931,1.0
0.9364859669357939,0.9534025374855825,0.9627066512879662,1.0
0.9540176855055749,0.9617070357554787,0.9659361783929258,1.0
0.9690888119953864,0.9664744329104191,0.9649365628604383,1.0
0.9709342560553633,0.9578623606305268,0.9501730103806229,1.0
0.9737024221453288,0.9449442522106882,0.9280276816608997,1.0
0.9755478662053056,0.9363321799307959,0.9132641291810842,1.0
0.9783160322952711,0.9234140715109573,0.891118800461361,1.0
0.980161476355248,0.914801999231065,0.8763552479815455,1.0
0.9829296424452134,0.9018838908112264,0.8542099192618224,1.0
0.9847750865051903,0.8932718185313341,0.8394463667820069,1.0
0.9875432525951557,0.8803537101114957,0.8173010380622839,1.0
0.9903114186851212,0.867435601691657,0.7951557093425605,1.0
0.9921568627450981,0.8588235294117647,0.7803921568627451,1.0
0.98800461361015,0.8339100346020761,0.748558246828143,1.0
0.9852364475201846,0.8173010380622837,0.7273356401384083,1.0
0.9810841983852365,0.7923875432525951,0.6955017301038062,1.0
0.9783160322952711,0.7757785467128028,0.6742791234140715,1.0
0.974163783160323,0.7508650519031141,0.6424452133794694,1.0
0.9713956170703576,0.7342560553633218,0.6212226066897347,1.0
0.9672433679354095,0.7093425605536332,0.5893886966551326,1.0
0.9630911188004614,0.6844290657439447,0.5575547866205306,1.0
0.960322952710496,0.6678200692041523,0.5363321799307958,1.0
0.9545559400230681,0.6417531718569781,0.5057285659361783,1.0
0.9453287197231834,0.6205305651672434,0.4894271434063821,1.0
0.9314878892733565,0.5886966551326414,0.4649750096116878,1.0
